"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME","VALUE","52W H","52W L","365 D % CHNG","30 D % CHNG"
"COLPAL","1,446.00","1,450.00","1,410.50","1,447.10","1,430.00","-17.10","-1.18",586556,"837,021,277.56","1,823.40","1,410.50","-10.70","-3.25"
"CADILAHC","466.00","466.00","452.55","463.95","458.35","-5.60","-1.21",1693403,"778,304,952.83","673.70","408.35","-3.59","-0.68"
"HDFCAMC","2,435.00","2,447.90","2,378.30","2,437.75","2,406.95","-30.80","-1.26",1227058,"2,942,607,789.80","3,365.00","2,378.30","-16.21","-7.82"
"SBICARD","918.95","920.00","895.10","916.65","900.55","-16.10","-1.76",3014914,"2,726,145,537.08","1,165.00","799.00","7.46","-12.24"
"GODREJCP","911.20","914.95","893.00","912.50","896.25","-16.25","-1.78",837940,"755,520,221.60","1,138.00","646.15","24.83","-2.23"
"YESBANK","13.55","13.60","13.05","13.40","13.15","-0.25","-1.87",111405508,"1,470,552,705.60","19.20","10.50","-30.42","2.33"
"AMBUJACEM","375.60","377.20","367.00","375.70","368.45","-7.25","-1.93",1784077,"662,070,974.70","442.50","225.95","46.82","-8.05"
"NAUKRI","5,522.00","5,522.00","5,364.55","5,512.15","5,404.90","-107.25","-1.95",289476,"1,568,734,128.72","7,465.40","4,023.90","16.59","-16.51"
"MARICO","509.40","509.40","497.50","509.50","499.35","-10.15","-1.99",919115,"460,467,423.85","607.70","379.10","22.25","-7.65"
"PEL","2,574.00","2,589.00","2,490.30","2,572.85","2,517.00","-55.85","-2.17",724472,"1,825,654,950.56","3,014.95","1,282.95","74.12","-1.40"
"BAJAJHLDNG","5,164.00","5,198.75","5,006.15","5,137.50","5,020.50","-117.00","-2.28",119799,"608,356,093.86","5,660.40","2,850.20","63.42","2.99"
"ACC","2,266.00","2,274.00","2,207.50","2,266.45","2,214.75","-51.70","-2.28",290265,"648,170,452.95","2,589.00","1,485.00","34.38","-9.24"
"BIOCON","365.40","367.25","349.40","363.15","354.70","-8.45","-2.33",2108444,"750,142,206.32","487.75","314.80","-25.15","-3.73"
"SIEMENS","2,476.00","2,476.00","2,402.40","2,476.60","2,418.40","-58.20","-2.35",380314,"924,794,341.24","2,576.85","1,441.15","57.32","4.65"
"BOSCHLTD","16,500.00","16,569.35","16,035.25","16,493.40","16,081.00","-412.40","-2.50",27342,"442,438,127.46","19,250.00","11,910.00","21.95","-9.44"
"JINDALSTEL","395.00","398.35","382.50","395.00","385.00","-10.00","-2.53",5908359,"2,294,452,134.06","501.70","244.85","41.90","4.32"
"PIIND","3,060.00","3,060.00","2,940.80","3,046.00","2,957.25","-88.75","-2.91",189959,"568,051,494.01","3,534.90","1,981.00","29.41","3.33"
"BANDHANBNK","275.80","277.25","265.65","275.45","267.30","-8.15","-2.96",4525941,"1,216,527,681.39","424.90","259.25","-34.58","-12.57"
"HAVELLS","1,355.00","1,360.00","1,313.95","1,361.00","1,318.15","-42.85","-3.15",1080803,"1,440,191,613.56","1,504.45","857.00","43.56","-3.87"
"HINDPETRO","297.80","298.65","286.60","297.80","288.30","-9.50","-3.19",2730995,"795,047,264.40","354.80","203.90","28.05","-11.23"
"LUPIN","904.50","907.20","870.25","903.40","873.00","-30.40","-3.37",1280895,"1,137,421,951.05","1,267.65","853.50","-10.00","-2.65"
"VEDL","345.65","347.65","330.70","357.50","332.30","-11.70","-3.40",12501229,"4,227,415,598.64","385.90","130.00","125.61","7.43"
"DLF","404.40","406.90","389.05","405.15","391.00","-14.15","-3.49",4920357,"1,946,886,857.76","449.70","208.30","68.63","-6.18"
"ADANITRANS","1,803.05","1,872.10","1,750.00","1,839.85","1,775.45","-64.40","-3.50",539171,"981,506,888.40","2,045.00","381.55","-","-7.11"
"ADANIENT","1,698.95","1,702.00","1,640.00","1,702.05","1,642.00","-60.05","-3.53",1215873,"2,016,549,687.96","1,788.90","409.65","261.49","-2.57"
"ICICIGI","1,407.20","1,412.00","1,351.00","1,408.45","1,358.70","-49.75","-3.53",1499248,"2,050,716,391.84","1,675.00","1,295.00","-7.03","-10.16"
"JUBLFOOD","3,670.00","3,670.00","3,520.40","3,673.20","3,542.95","-130.25","-3.55",766334,"2,726,348,155.10","4,590.00","2,543.95","28.83","-6.88"
"PNB","39.25","39.40","37.90","39.40","38.00","-1.40","-3.55",47068060,"1,804,118,739.80","48.20","31.40","3.97","-8.76"
"ICICIPRULI","575.00","577.95","554.30","578.05","555.95","-22.10","-3.82",923395,"518,735,609.15","724.30","418.50","15.30","-13.08"
"BANKBARODA","88.40","88.60","84.65","88.65","84.90","-3.75","-4.23",29601923,"2,545,469,358.77","108.00","56.20","34.55","-11.79"
"MCDOWELL-N","922.10","925.95","878.20","922.40","882.00","-40.40","-4.38",1945227,"1,728,937,209.87","1,019.95","507.50","50.02","-4.05"
"INDUSTOWER","264.80","264.80","251.00","264.95","253.10","-11.85","-4.47",4416343,"1,130,981,278.87","332.80","194.10","9.15","-11.30"
"CHOLAFIN","542.10","545.45","507.10","545.75","509.70","-36.05","-6.61",4467775,"2,323,600,422.00","667.40","345.15","36.06","-17.33"
"APOLLOHOSP","5,200.00","5,200.00","4,730.00","5,204.30","4,800.00","-404.30","-7.77",1133941,"5,580,327,770.38","5,935.40","2,251.00","100.47","-14.35"
